学号,得分,答题阶段
59295,30,1
59048,100,1
152693,100,1
152990,90,1
169257,90,1
151967,30,1
153112,60,1
150559,90,1
150526,90,1
150543,100,1
150565,100,1
150558,100,1
150529,100,1
150548,90,1
150549,80,1
150550,90,1
150554,90,1
150540,100,1
150564,90,1
150541,90,1
150538,90,1
150531,100,1
150530,100,1
150536,100,1
150521,100,1
150522,100,1
140447,30,1
130862,100,1
152992,100,1
152976,90,1
152979,100,1
142572,30,1
142539,40,1
142587,100,1
152528,100,1
152524,100,1
152588,50,1
142590,90,1
152546,90,1
142549,100,1
152636,100,1
151308,70,1
151342,90,1
129055,100,1
152569,70,1
151669,90,1
151305,40,1
141780,90,1
151319,40,1
149315,100,1
142446,60,1
142436,60,1
140430,80,1
169243,100,1
150528,90,1
143374,90,1
142682,100,1
149312,80,1
152689,100,1
152661,100,1
152704,100,1
152662,100,1
151183,100,1
152725,90,1
152731,100,1
151192,100,1
151195,90,1
151177,60,1
151186,90,1
151197,100,1
151182,90,1
151176,100,1
152771,90,1
151628,100,1
152540,90,1
142269,100,1
151595,90,1
153072,90,1
149652,90,1
141456,100,1
140416,100,1
152573,90,1
151566,100,1
141464,90,1
119282,100,1
151175,80,1
151196,70,1
150065,90,1
140061,90,1
140078,100,1
150080,100,1
150170,80,1
150158,60,1
140161,100,1
140070,90,1
140076,30,1
140089,100,1
150175,80,1
140147,100,1
140169,100,1
140177,100,1
140159,90,1
140165,90,1
140164,90,1
150164,80,1
140170,90,1
140153,90,1
150063,100,1
101010799,40,1
101006968,60,1
151202,90,1
151172,100,1
151181,100,1
151213,90,1
151210,90,1
151212,90,1
151299,60,1
151184,80,1
151164,100,1
151179,60,1
101011185,60,1
101002576,20,1
101010049,70,1
151190,30,1
151191,10,1
151189,90,1
150078,100,1
140187,100,1
152490,50,1
152972,90,1
152977,90,1
152961,80,1
152960,100,1
152963,100,1
152967,80,1
152986,90,1
152987,80,1
152995,90,1
152996,90,1
152980,80,1
153007,100,1
153005,90,1
153008,90,1
153013,90,1
153012,100,1
153024,90,1
153022,80,1
153028,70,1
153027,100,1
153031,70,1
153036,90,1
153045,90,1
153043,80,1
153889,90,1
153887,90,1
153891,90,1
153910,70,1
153871,70,1
153934,80,1
153869,80,1
152981,80,1
140411,90,1
142676,50,1
151571,100,1
142644,90,1
159110,100,1
151516,100,1
151565,90,1
152841,70,1
152830,100,1
152823,90,1
152842,60,1
152824,90,1
152835,80,1
152829,60,1
152837,80,1
152817,100,1
151518,80,1
152832,100,1
142615,100,1
152833,90,1
152828,100,1
142639,80,1
152831,80,1
152818,100,1
152838,80,1
152811,60,1
152848,70,1
152820,90,1
142671,90,1
141313,50,1
142630,100,1
141317,80,1
152815,70,1
139421,80,1
142668,50,1
159230,90,1
159224,50,1
141124,90,1
152834,80,1
152814,100,1
142627,100,1
142695,80,1
142679,50,1
152822,90,1
142642,50,1
142621,100,1
142685,90,1
141318,100,1
152840,90,1
142706,100,1
151339,60,1
142677,100,1
141304,30,1
141301,100,1
142673,30,1
141297,70,1
142667,90,1
142660,80,1
150579,60,1
150816,40,1
150841,80,1
150819,60,1
142629,80,1
150824,70,1
150574,70,1
150878,90,1
150833,100,1
150804,80,1
150720,100,1
150883,90,1
150803,70,1
150882,100,1
150607,50,1
150632,100,1
142689,90,1
150602,100,1
150832,70,1
150830,40,1
150711,100,1
150800,80,1
140557,50,1
150811,90,1
150598,100,1
150844,100,1
150592,100,1
150812,60,1
150594,90,1
150584,100,1
150587,100,1
142691,70,1
150708,100,1
142623,80,1
150825,30,1
150807,40,1
150617,100,1
142625,100,1
150601,100,1
142662,60,1
150626,100,1
142634,80,1
150806,20,1
150835,50,1
142614,100,1
142684,60,1
142701,100,1
142663,60,1
142656,80,1
142635,60,1
142616,40,1
152763,100,1
142675,50,1
142638,60,1
150603,100,1
150596,90,1
150589,100,1
142617,90,1
142646,80,1
142683,80,1
150627,100,1
152720,90,1
142651,30,1
151509,70,1
150600,100,1
150880,80,1
159111,100,1
131452,90,1
150809,100,1
142680,90,1
140750,100,1
151084,0,1
150822,100,1
150628,100,1
150622,100,1
142700,80,1
150618,100,1
150590,100,1
150707,90,1
142650,30,1
150609,90,1
150886,40,1
141015,100,1
142692,60,1
150585,100,1
142624,100,1
142699,100,1
142648,50,1
151479,70,1
142708,80,1
150599,100,1
142637,100,1
151316,50,1
150159,100,1
143120,90,1
169076,50,1
143121,90,1
142681,100,1
141531,60,1
151649,90,1
151799,50,1
142649,90,1
152722,90,1
141305,50,1
142653,30,1
101001679,50,1
141311,40,1
